page,product_name,price,rating,ram,product_dimention,camera,battery,processor
https://www.flipkart.com/search?q=mobiles&page=1,"Redmi 8 (Onyx Black, 64 GB)","₹9,499",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor
https://www.flipkart.com/search?q=mobiles&page=1,"Realme 6 (Comet Blue, 128 GB)","₹16,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor
https://www.flipkart.com/search?q=mobiles&page=1,"Redmi 8 (Sapphire Blue, 64 GB)","₹9,499",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor
https://www.flipkart.com/search?q=mobiles&page=1,"Realme 6 Pro (Lightning Orange, 128 GB)","₹19,999",4.4,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.76 cm (6.6 inch) Full HD+ Display,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,4300 mAh Battery,Snapdragon 720G Processor
https://www.flipkart.com/search?q=mobiles&page=1,"Asus ZenFone Max M1 (Black, 64 GB)","₹7,499",4.5,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,4000 mAh Battery,Qualcomm Snapdragon 430 Processor
https://www.flipkart.com/search?q=mobiles&page=1,"Realme C3 (Blazing Red, 64 GB)","₹9,999",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor
https://www.flipkart.com/search?q=mobiles&page=1,"Realme C3 (Frozen Blue, 32 GB)","₹8,999",4.4,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor
https://www.flipkart.com/search?q=mobiles&page=1,"Realme C3 (Blazing Red, 32 GB)","₹8,999",4.4,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor
https://www.flipkart.com/search?q=mobiles&page=1,"Realme C3 (Frozen Blue, 64 GB)","₹9,999",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP | 5MP Front Camera,5000 mAh Battery,Helio G70 Processor
https://www.flipkart.com/search?q=mobiles&page=1,"Realme 6 (Comet Blue, 64 GB)","₹13,999",4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,4300 mAh Battery,MediaTek Helio G90T Processor
https://www.flipkart.com/search?q=mobiles&page=1,"Realme 5i (Forest Green, 128 GB)","₹11,999",4.4,4 GB RAM | 128 GB ROM,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 (2 GHz) Processor
